"Lon","Lat"
7420912.42352366,5549066.79551709
7430921.82469393,5548966.057051
7423425.78950083,5545804.71387285
7418870.23969043,5548418.33060632
7423843.63296485,5547124.29201145
7423638.73347679,5548253.02851729
7423423.54318596,5547857.24759949
7424833.24294093,5545807.13507063
7423905.77918396,5547411.93967178
7424760.26439668,5545956.45111814
7424450.1140646,5547022.28044144
7424794.03096351,5542414.12189477
7423929.11360659,5547502.78412631
7424267.28589837,5546687.56034446
7425437.16885561,5551250.11353741
7425490.44968832,5547246.76240298
7425409.39418561,5541275.63980978
7423898.74475856,5547946.61974244
7423960.15462499,5547706.50863205
7426228.13022497,5546084.24981787
7422972.12078581,5546009.51527006
7428837.21718618,5541537.82353732
7423944.77033362,5548513.74096474
7423649.97590284,5547390.58138625
7423218.60118165,5545703.20648662
7430064.6524703,5551147.90328781
7415649.69017953,5542261.51256384
7424277.36282778,5551021.38786695
7422145.41213582,5544965.39626688
7424774.16732404,5549724.58605007
7423987.25139135,5546769.12867738
7424124.49093714,5546534.6149495
7431809.2368108,5541825.22992628
7424084.17461315,5545541.48142904
7425336.4037126,5548304.42508114
7425607.37441895,5545865.36066224
7428393.66687908,5545813.47003958
7421941.45491551,5548552.1267428
7429476.22762446,5551164.6177076
7424712.16684182,5547443.08012458
7425741.12665217,5546479.24052298
7425185.4819649,5550403.50386231
7424375.62228479,5546327.37044427
7424184.84112011,5548309.23363764
7422977.04680021,5547156.76720612
7425476.0671396,5548990.38686255
7423526.32965032,5547228.23459003
7424391.42625449,5546479.1871356
7424293.23924733,5548139.76817151
7423367.09481447,5550678.23290084
7422145.41213582,5544965.39626688
7430819.68213492,5548903.41018497
7423491.39024732,5550393.95654023
7424835.7389033,5548455.90970019
7423804.60108789,5547889.5194443
7427407.35654493,5544920.07353197
7423881.6008711,5547628.33993759
7426624.2044413,5550478.0566888
7425059.29123966,5546185.45199291
7430064.6524703,5551147.90328781
7429242.19403525,5548312.63003292
7424434.76686687,5546957.09333471
7423882.57906995,5547481.15442776
7430266.2146772,5551776.02352866
7420665.383948,5542931.91019773
7429601.96525336,5541921.3965593
7427293.53770584,5549126.89416474
7423319.33720506,5547789.42590684
7427965.45278435,5550832.89414579
7425117.63871106,5540530.32905513
7422972.12006961,5546009.51528037
7428054.68187239,5548223.9344232
7424344.95559452,5546320.15940227
7423949.06949453,5548456.80233734
7422267.42693988,5549391.7696478
7423916.79051066,5547334.4028916
7431244.62084702,5549461.80330084
7431682.36868172,5549679.9741397
